Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Date,Delivery_Term,City,price_per_m2,total_rooms,Log_Price,Log_Area
0,290000.0,3.0,3.0,199.0,0,Ground,cash or installment,unknown,4,120,1457.286432160804,6.0,12.577639650232573,5.298317366548036
0,1250000.0,2.0,1.0,100.0,1,1,cash,unknown,1,166,12500.0,3.0,14.038654909278163,4.61512051684126
0,1162500.0,3.0,2.0,155.0,0,2,cash,within_6_months,3,120,7500.0,5.0,13.966084276658332,5.049856007249537
0,415000.0,3.0,2.0,141.0,0,3,cash or installment,unknown,4,119,2943.2624113475176,5.0,12.936036208848487,4.955827057601261
0,700000.0,2.0,1.0,95.0,0,6,cash,ready_to_move,1,76,7368.421052631579,3.0,13.45883704259595,4.564348191467836
0,1470000.0,3.0,2.0,116.0,1,1,unknown payment,unknown,4,93,12672.413793103447,5.0,14.200773639026796,4.762173934797756
0,1480000.0,3.0,2.0,165.0,1,1,cash or installment,ready_to_move,3,119,8969.69696969697,5.0,14.207553321415745,5.111987788356544
0,385000.0,4.0,4.0,337.0,1,2,cash or installment,unknown,4,120,1142.433234421365,8.0,12.861001210669146,5.823045895483019
0,260000.0,3.0,2.0,170.0,0,1,cash or installment,unknown,4,119,1529.4117647058824,5.0,12.468440756144114,5.14166355650266
0,260000.0,3.0,2.0,170.0,0,2,cash or installment,unknown,4,141,1529.4117647058824,5.0,12.468440756144114,5.14166355650266
0,370000.0,3.0,2.0,157.0,0,3,cash or installment,unknown,4,119,2356.687898089172,5.0,12.821260987319457,5.062595033026967
0,280000.0,3.0,2.0,160.0,0,3,cash or installment,unknown,4,119,1750.0,5.0,12.54254845357358,5.081404364984463
0,449000.0,3.0,3.0,165.0,0,Ground,cash or installment,unknown,4,119,2721.212121212121,6.0,13.014780393893403,5.111987788356544
0,345000.0,3.0,2.0,145.0,0,Ground,cash or installment,unknown,4,119,2379.310344827586,5.0,12.75130259456002,4.983606621708336
0,2900000.0,3.0,3.0,128.0,0,2,installment,ready_to_move,0,119,22656.25,6.0,14.88022163978423,4.859812404361672
0,750000.0,3.0,1.0,115.0,0,10,cash,within_6_months,1,117,6521.739130434783,4.0,13.527829818844937,4.7535901911063645
0,270000.0,3.0,2.0,170.0,0,3,cash or installment,unknown,4,120,1588.235294117647,5.0,12.506180941677357,5.14166355650266
